Application Name,Respondent Role,Rating,Comment,Date,Sentiment
Reporting Dashboard System,IT Staff,1,"System goes down frequently, can't count on it",2025-06-17,Negative
Grant Management,Team Lead,1,"Nightmare to use, causes daily frustration",2025-09-12,Negative
Service Request System,Support Staff,2,Way too expensive for what little value it provides,2025-09-18,Negative
Integrated Backup System Pro,Team Lead,1,Data integrity issues - can't trust the information,2025-06-22,Negative
Fleet Management Platform,Supervisor,1,Lacks essential functionality for our work,2025-08-06,Negative
Integrated Budget Management Classic,Director,4,Solid application that just works,2025-07-08,Positive
Asset Inventory System,Supervisor,2,"Freezes constantly, have to restart multiple times daily",2025-09-25,Negative
Public Safety Emergency Dispatch (Old),Supervisor,4,Best application we have - couldn't do without it,2025-06-20,Positive
Procurement,Director,1,Missing basic features we desperately need,2025-09-04,Negative
Asset Management System,End User,3,"Basic functionality works, missing some features",2025-09-07,Neutral
Grant Management Platform,IT Staff,3,Serviceable but not ideal,2025-10-06,Neutral
Public Safety Investigation Management v1,IT Staff,3,"Average tool, meets minimum requirements",2025-10-01,Neutral
Complaint Tracking (New),End User,5,"Works perfectly, no complaints whatsoever",2025-11-01,Positive
Payroll,IT Staff,1,"Too many bugs, feels like it's never been tested",2025-07-14,Negative
Procurement,Administrator,1,"Absolutely hate this system, it's awful",2025-11-02,Negative
Training Platform,Department Manager,1,Not worth the cost - should find cheaper alternative,2025-10-17,Negative
Financial System,Administrator,4,Great application - modern interface and reliable performance,2025-09-06,Positive
Service Request Tool,Business Analyst,1,"Absolutely hate this system, it's awful",2025-08-01,Negative
Accounts Payable Tool,Department Manager,4,Impressed with the functionality and ease of use,2025-10-22,Positive
Records Archive Tool,Supervisor,4,Solid application that just works,2025-10-04,Positive
Citizen Services Case Management Classic,End User,2,Needs major feature updates to be useful,2025-11-12,Negative
Asset Management System,Business Analyst,1,Worst application in our portfolio,2025-06-04,Negative
Integrated Email Archive Pro,End User,4,Great application - modern interface and reliable performance,2025-10-07,Positive
Revenue Collection Platform v2,Team Lead,5,Solid application that just works,2025-10-16,Positive
Investigation Management Platform,Support Staff,1,"Can't do half of what we need, very limited",2025-07-07,Negative
Public Portal System,Supervisor,5,"Works perfectly, no complaints whatsoever",2025-06-18,Positive
Procurement,IT Staff,2,Confusing workflow that makes no sense,2025-09-22,Negative
Facility Management System,Support Staff,5,This application works great and has everything we need,2025-11-07,Positive
Integrated License Management,Director,2,Missing basic features we desperately need,2025-08-04,Negative
Revenue Collection Classic,Director,1,Frequent errors and unexpected behavior,2025-11-05,Negative
Integrated License Management,Department Manager,3,Functional but a bit outdated,2025-08-30,Neutral
Case Management System v2,Team Lead,4,"Works perfectly, no complaints whatsoever",2025-10-01,Positive
Asset Inventory Platform,Director,2,"Nightmare to use, causes daily frustration",2025-11-14,Negative
Help Desk,Department Manager,3,"Basic functionality works, missing some features",2025-09-06,Neutral
Investigation Management,Business Analyst,5,Love this system! It's intuitive and fast,2025-08-09,Positive
Training,Executive,4,Very reliable and easy to use - saves us a lot of time,2025-07-26,Positive
Identity Management System,Executive,3,"Acceptable for now, considering alternatives",2025-11-12,Neutral
Email Archive System,Business Analyst,1,"Terrible application, looking for replacement ASAP",2025-06-28,Negative
Fleet Management Platform,Supervisor,3,"Average tool, meets minimum requirements",2025-09-20,Neutral
Service Request,Business Analyst,2,"Unnecessarily complex, needs complete redesign",2025-09-04,Negative
Help Desk,Team Lead,2,Not worth the cost - should find cheaper alternative,2025-09-01,Negative
Integrated Time & Attendance,Director,1,Waste of money - should retire this immediately,2025-10-04,Negative
Document Management System,Business Analyst,2,Complete disaster - retire it now,2025-08-30,Negative
Human Resources Training (Old),Supervisor,2,Data integrity issues - can't trust the information,2025-10-15,Negative
Complaint Tracking System,Administrator,4,Appreciate how reliable and fast this is,2025-09-16,Positive
Integrated Investigation Management,Administrator,2,"Constantly broken, always reporting issues",2025-10-04,Negative
Budget Management Platform Plus,Supervisor,5,Clean interface and powerful features,2025-11-13,Positive
Revenue Collection Classic,Department Manager,3,"It works fine, does what it needs to do",2025-07-04,Neutral
Integrated 311 System,Director,5,Great application - modern interface and reliable performance,2025-06-27,Positive
Complaint Tracking System,Team Lead,2,Not worth the cost - should find cheaper alternative,2025-07-12,Negative
311 System Tool,Executive,1,Needs major feature updates to be useful,2025-09-10,Negative
Email Archive System,Administrator,1,"Freezes constantly, have to restart multiple times daily",2025-07-28,Negative
Performance Management Tool v1,Administrator,5,Outstanding tool that delivers real value,2025-08-20,Positive
Integrated Procurement,Business Analyst,3,"Gets the job done, nothing special",2025-07-31,Neutral
Asset Inventory,Supervisor,5,Very efficient and well-designed,2025-08-03,Positive
Case Management Platform,Business Analyst,3,Serviceable but not ideal,2025-05-30,Neutral
Integrated Complaint Tracking v1,Director,5,Impressed with the functionality and ease of use,2025-10-31,Positive
Analytics Platform System Classic,Support Staff,3,"Acceptable for now, considering alternatives",2025-05-27,Neutral
Investigation Management Tool,Director,3,"It's fine, no major issues",2025-11-13,Neutral
Citizen Services Service Request,IT Staff,4,Clean interface and powerful features,2025-06-09,Positive
Complaint Tracking (New),Team Lead,3,Could use some improvements but manageable,2025-07-24,Neutral
Budget Management Platform Plus,IT Staff,3,Not great but not terrible either,2025-11-15,Neutral
Fleet Management System,Supervisor,1,Outdated - doesn't integrate with anything modern,2025-10-09,Negative
Case Management Platform,Team Lead,3,"Acceptable for now, considering alternatives",2025-05-31,Neutral
Performance Management Tool v1,Administrator,4,"Fantastic system, makes my job much easier",2025-11-13,Positive
Integrated Accounts Payable,Administrator,4,Solid application that just works,2025-10-02,Positive
Data Warehouse Tool,Support Staff,1,"System goes down frequently, can't count on it",2025-07-07,Negative
Case Management Tool,Business Analyst,3,It works but feels dated,2025-07-15,Neutral
Investigation Management Tool,Business Analyst,5,Great application - modern interface and reliable performance,2025-11-04,Positive
Budget Management,Department Manager,3,Not great but not terrible either,2025-07-30,Neutral
Financial System (Old),Department Manager,2,Lacks essential functionality for our work,2025-07-30,Negative
Backup System System,Executive,4,Clean interface and powerful features,2025-09-17,Positive
Revenue Collection,End User,3,Middle of the road - neither good nor bad,2025-08-26,Neutral
Public Safety Emergency Dispatch (Old),Team Lead,1,Budget drain with minimal return on investment,2025-06-29,Negative
Benefits Administration,End User,1,"Terrible application, looking for replacement ASAP",2025-07-19,Negative
Investigation Management Platform Enterprise,Executive,1,Needs major feature updates to be useful,2025-09-22,Negative
Complaint Tracking Tool Plus,IT Staff,1,"Crashes multiple times per week, very unreliable",2025-10-11,Negative
Performance Management Tool Plus,Team Lead,5,Very efficient and well-designed,2025-06-27,Positive
Incident Reporting,End User,3,"Gets the job done, nothing special",2025-07-10,Neutral
Human Resources Time & Attendance,Department Manager,3,"Average tool, meets minimum requirements",2025-09-09,Neutral
Finance Revenue Collection,Executive,5,Very efficient and well-designed,2025-11-12,Positive
Grant Management,Supervisor,2,Waste of money - should retire this immediately,2025-06-13,Negative
Integrated Case Management,Executive,2,"Can't do half of what we need, very limited",2025-09-05,Negative
Asset Inventory Tool v1,Business Analyst,1,Complete disaster - retire it now,2025-05-25,Negative
Document Management System,Support Staff,4,"Really helpful tool, very user-friendly",2025-08-16,Positive
Human Resources Recruitment,Director,2,"Terrible application, looking for replacement ASAP",2025-09-15,Negative
Digital Signatures System Enterprise,Team Lead,1,Functionality is bare-bones and inadequate,2025-10-17,Negative
Public Safety Investigation Management,Administrator,1,"Crashes multiple times per week, very unreliable",2025-09-21,Negative
Operations Inventory,Support Staff,3,Adequate for our needs but could be better,2025-08-24,Neutral
Performance Management Tool v1,Supervisor,3,It works but feels dated,2025-09-07,Neutral
Performance Management Tool Plus,Director,5,Outstanding tool that delivers real value,2025-11-08,Positive
Grant Management,Department Manager,5,Love this system! It's intuitive and fast,2025-08-03,Positive
Finance Budget Management Enterprise,End User,5,Clean interface and powerful features,2025-08-12,Positive
Citizen Services Public Portal (New),IT Staff,3,Not great but not terrible either,2025-08-01,Neutral
Integrated Accounts Payable,Executive,1,"Constantly broken, always reporting issues",2025-08-19,Negative
Email System Platform Plus,Supervisor,3,Functional but a bit outdated,2025-10-21,Neutral
Performance Management Tool Plus,Administrator,3,"It works fine, does what it needs to do",2025-10-15,Neutral
Permit System Tool,Department Manager,3,Adequate for our needs but could be better,2025-08-05,Neutral
Integrated Revenue Collection,Business Analyst,5,Great application - modern interface and reliable performance,2025-09-01,Positive
Document Management System,Director,3,Could use some improvements but manageable,2025-08-14,Neutral
Case Management Tool,Administrator,5,This application works great and has everything we need,2025-10-24,Positive
Email Archive Platform,Director,1,Waste of money - should retire this immediately,2025-06-21,Negative
Performance Management Tool Plus,IT Staff,2,Way too expensive for what little value it provides,2025-07-12,Negative
Integrated Backup System Pro,End User,1,System is painfully slow and frequently times out,2025-06-14,Negative
Integrated Backup System Pro,Director,2,"System goes down frequently, can't count on it",2025-08-18,Negative
Integrated Training,Supervisor,3,"Average tool, meets minimum requirements",2025-06-01,Neutral
Asset Management System,Team Lead,5,"Works perfectly, no complaints whatsoever",2025-11-08,Positive
Human Resources Benefits Administration,Team Lead,2,Downtime is unacceptable for a critical system,2025-10-24,Negative
Service Request System,End User,2,Missing basic features we desperately need,2025-11-06,Negative
Investigation Management Platform Enterprise,Administrator,1,Way too expensive for what little value it provides,2025-09-14,Negative
Investigation Management Platform,Administrator,2,Missing basic features we desperately need,2025-06-28,Negative
Integrated 311 System,Support Staff,3,"Gets the job done, nothing special",2025-11-08,Neutral
Backup System Tool,Team Lead,3,"Average tool, meets minimum requirements",2025-09-25,Neutral
Incident Reporting,Department Manager,5,Solid application that just works,2025-07-28,Positive
Budget Management,IT Staff,5,Clean interface and powerful features,2025-11-04,Positive
GIS Mapping System (Old),End User,5,"Works perfectly, no complaints whatsoever",2025-06-27,Positive
Benefits Administration System v1,Executive,4,"Works perfectly, no complaints whatsoever",2025-08-29,Positive
Records Management Document Management,Team Lead,2,Data integrity issues - can't trust the information,2025-09-24,Negative
Investigation Management Tool,Department Manager,1,"Terrible application, looking for replacement ASAP",2025-10-25,Negative
Integrated Document Management,Administrator,5,"Fantastic system, makes my job much easier",2025-09-15,Positive
Backup System,End User,1,Worst application in our portfolio,2025-08-01,Negative
Citizen Services Permit System (New),Support Staff,4,Very reliable and easy to use - saves us a lot of time,2025-06-13,Positive
Integrated GIS Mapping v2,Director,1,"Unnecessarily complex, needs complete redesign",2025-06-18,Negative
Complaint Tracking Platform,Executive,2,"Absolutely hate this system, it's awful",2025-09-24,Negative
Grant Management,Department Manager,1,Horrible experience every time I have to use it,2025-08-09,Negative
Integrated 311 System,IT Staff,4,"Really helpful tool, very user-friendly",2025-05-24,Positive
Work Order Tool,Supervisor,5,"Really helpful tool, very user-friendly",2025-08-18,Positive
Integrated License Management,Support Staff,4,Very efficient and well-designed,2025-10-28,Positive
Complaint Tracking Platform,Director,2,Missing critical features that competitors have,2025-07-16,Negative
Benefits Administration System v1,Director,2,"Nightmare to use, causes daily frustration",2025-07-22,Negative
Operations Inventory Enterprise,Director,2,Complete disaster - retire it now,2025-06-17,Negative
Investigation Management,IT Staff,5,Great application - modern interface and reliable performance,2025-07-10,Positive
Integrated License Management,IT Staff,3,"Gets the job done, nothing special",2025-10-15,Neutral
Compliance Compliance Tracking,Supervisor,4,"Really helpful tool, very user-friendly",2025-09-04,Positive
Integrated License Management,Business Analyst,3,Middle of the road - neither good nor bad,2025-09-28,Neutral
Emergency Dispatch Platform,End User,5,Solid application that just works,2025-08-24,Positive
Human Resources HR Management Classic,Business Analyst,1,Complete disaster - retire it now,2025-10-30,Negative
IT Network Monitoring Classic,Administrator,2,"Loading times are ridiculous, kills productivity",2025-07-01,Negative
Citizen Services Service Request,Business Analyst,3,"It's fine, no major issues",2025-07-24,Neutral
Project Management,Executive,2,"Crashes multiple times per week, very unreliable",2025-11-01,Negative
Document Management Tool,Business Analyst,1,Frequent errors and unexpected behavior,2025-10-12,Negative
Integrated License Management,Supervisor,1,"Can't do half of what we need, very limited",2025-10-28,Negative
Backup System Plus,IT Staff,5,Impressed with the functionality and ease of use,2025-07-16,Positive
Email Archive (New),Supervisor,4,Clean interface and powerful features,2025-10-06,Positive
IT Asset Inventory Plus,End User,3,Not great but not terrible either,2025-05-29,Neutral
GIS Mapping Platform,Supervisor,4,"Fantastic system, makes my job much easier",2025-11-05,Positive
Complaint Tracking Tool Plus,Director,1,Way too complicated for what it should do,2025-06-02,Negative
Integrated Procurement,Executive,1,Way too expensive for what little value it provides,2025-06-19,Negative
Incident Reporting System,Director,1,System is painfully slow and frequently times out,2025-08-04,Negative
Document Management Tool v1,Director,2,"System goes down frequently, can't count on it",2025-08-08,Negative
Service Request Tool,Support Staff,2,"Terrible application, looking for replacement ASAP",2025-06-26,Negative
Integrated Budget Management,IT Staff,1,"System goes down frequently, can't count on it",2025-06-11,Negative
Integrated Compliance Tracking,Business Analyst,2,Horrible experience every time I have to use it,2025-07-11,Negative
Asset Inventory Tool,Business Analyst,2,"Nightmare to use, causes daily frustration",2025-07-24,Negative
Benefits Administration Classic,Team Lead,1,Way too complicated for what it should do,2025-07-28,Negative
Accounts Payable Tool,Director,5,Outstanding tool that delivers real value,2025-08-13,Positive
Integrated Accounts Payable,Department Manager,1,Data integrity issues - can't trust the information,2025-08-02,Negative
Document Management System Enterprise,End User,5,This application works great and has everything we need,2025-06-24,Positive
Human Resources Time & Attendance,Department Manager,2,User interface from the 1990s - desperately needs update,2025-07-20,Negative
Integrated Time & Attendance,Executive,1,Overpriced and underperforming,2025-06-11,Negative
Permit System Tool,Business Analyst,5,"Fantastic system, makes my job much easier",2025-10-21,Positive
Human Resources HR Management Classic,Team Lead,2,"Takes 5+ minutes just to log in, completely unacceptable",2025-07-15,Negative
Benefits Administration System v1,Support Staff,4,"Fantastic system, makes my job much easier",2025-10-11,Positive
Finance Revenue Collection,Executive,3,Serviceable but not ideal,2025-08-12,Neutral
Benefits Administration System v1,Business Analyst,3,"Basic functionality works, missing some features",2025-11-08,Neutral
Budget Management,Supervisor,4,Very efficient and well-designed,2025-09-23,Positive
Document Management Platform Enterprise,Department Manager,5,Excellent tool that has significantly improved our workflow,2025-09-12,Positive
Email System,Supervisor,2,"Freezes constantly, have to restart multiple times daily",2025-09-01,Negative
Asset Inventory Tool,IT Staff,5,This application works great and has everything we need,2025-10-15,Positive
Accounts Payable Tool Classic,Department Manager,1,Data integrity issues - can't trust the information,2025-06-17,Negative
Payroll,Support Staff,1,Overpriced and underperforming,2025-11-06,Negative
Grant Management,Department Manager,4,Excellent tool that has significantly improved our workflow,2025-06-17,Positive
Integrated Complaint Tracking v1,IT Staff,5,Outstanding tool that delivers real value,2025-08-01,Positive
Incident Reporting System,Support Staff,2,Costs too much for how rarely we use it,2025-06-17,Negative
Accounts Payable Tool,Team Lead,5,This application works great and has everything we need,2025-11-14,Positive
Reporting Dashboard,Director,5,This application works great and has everything we need,2025-08-26,Positive
Citizen Services Case Management Pro,IT Staff,4,Appreciate how reliable and fast this is,2025-09-05,Positive
Benefits Administration System v1,Director,3,It works but feels dated,2025-08-06,Neutral
Integrated Accounts Payable,Department Manager,1,Extremely slow - takes forever to load anything,2025-10-10,Negative
Backup System Tool,End User,3,Does the basic functions we need,2025-06-25,Neutral
Integrated GIS Mapping v2,Administrator,1,Outdated - doesn't integrate with anything modern,2025-06-09,Negative
Integrated Complaint Tracking v1,Supervisor,5,Impressed with the functionality and ease of use,2025-10-28,Positive
Identity Management,Support Staff,2,"Takes 5+ minutes just to log in, completely unacceptable",2025-09-21,Negative
Audit Management Platform,Team Lead,5,Very efficient and well-designed,2025-10-26,Positive
IT Identity Management Plus,Business Analyst,1,Not worth the cost - should find cheaper alternative,2025-06-15,Negative
GIS Mapping System (Old),Administrator,3,"It works fine, does what it needs to do",2025-06-16,Neutral
Email System Tool,End User,2,"Too many bugs, feels like it's never been tested",2025-06-16,Negative
Emergency Dispatch Platform,Department Manager,4,"Fantastic system, makes my job much easier",2025-11-16,Positive
Human Resources Recruitment,End User,1,"Very difficult to navigate, poor user experience",2025-07-14,Negative
Backup System System,Executive,3,"Basic functionality works, missing some features",2025-11-02,Neutral
GIS Mapping System,Support Staff,1,Needs major feature updates to be useful,2025-06-06,Negative
Finance Budget Management Enterprise,Department Manager,3,Does the basic functions we need,2025-08-16,Neutral
Integrated 311 System,Team Lead,3,Serviceable but not ideal,2025-08-07,Neutral
GIS Mapping System (Old),Support Staff,3,Could use some improvements but manageable,2025-08-17,Neutral
Asset Inventory System (Old),Supervisor,5,Clean interface and powerful features,2025-09-27,Positive
Backup System,IT Staff,3,Middle of the road - neither good nor bad,2025-07-29,Neutral
Training Platform,Director,2,Budget drain with minimal return on investment,2025-11-15,Negative
Integrated Case Management (New),Supervisor,4,Excellent tool that has significantly improved our workflow,2025-11-10,Positive
Analytics Platform System Classic,Director,1,"Nightmare to use, causes daily frustration",2025-11-10,Negative
Case Management System v2,Department Manager,3,"Acceptable for now, considering alternatives",2025-06-29,Neutral
Email System Tool,IT Staff,1,Worst application in our portfolio,2025-08-09,Negative
Service Request Tool,Executive,3,It works but feels dated,2025-06-13,Neutral
VPN,Director,2,Needs major feature updates to be useful,2025-09-09,Negative
Human Resources Training (Old),Administrator,1,"Takes 5+ minutes just to log in, completely unacceptable",2025-09-30,Negative
IT Network Monitoring,Supervisor,5,This application works great and has everything we need,2025-06-26,Positive
Incident Reporting System,End User,2,Clunky interface makes simple tasks take forever,2025-07-19,Negative
Incident Reporting System,Team Lead,4,Solid application that just works,2025-11-12,Positive
Integrated Facility Management,IT Staff,3,"Average tool, meets minimum requirements",2025-07-10,Neutral
Human Resources Benefits Administration Enterprise,Administrator,1,Worst application in our portfolio,2025-10-28,Negative
Human Resources Recruitment,End User,4,This application works great and has everything we need,2025-07-05,Positive
Integrated Evidence Tracking,Department Manager,2,"Too many bugs, feels like it's never been tested",2025-10-07,Negative
Content Management Platform Pro,Business Analyst,3,Functional but a bit outdated,2025-08-26,Neutral
Email Archive Platform,Department Manager,1,Functionality is bare-bones and inadequate,2025-11-03,Negative
Complaint Tracking Platform,Business Analyst,3,Works okay most of the time,2025-10-31,Neutral
311 System Tool,Supervisor,1,Way too complicated for what it should do,2025-07-23,Negative
Public Safety Emergency Dispatch (Old),Administrator,5,"Works perfectly, no complaints whatsoever",2025-09-01,Positive
Fleet Management Plus,Business Analyst,1,"Nightmare to use, causes daily frustration",2025-11-10,Negative
Evidence Tracking Platform v1,Supervisor,3,Could use some improvements but manageable,2025-06-04,Neutral
Asset Management System,Executive,3,"Gets the job done, nothing special",2025-08-07,Neutral
Integrated Budget Management Classic,Executive,4,Best application we have - couldn't do without it,2025-08-31,Positive
Asset Management System (Old),Administrator,2,Confusing workflow that makes no sense,2025-07-21,Negative
Integrated Investigation Management,Supervisor,3,Does the basic functions we need,2025-06-14,Neutral
Records Management Document Management,Department Manager,2,"System goes down frequently, can't count on it",2025-11-05,Negative
Asset Management System,End User,2,Clunky interface makes simple tasks take forever,2025-08-27,Negative
Integrated Payroll,Supervisor,2,Missing critical features that competitors have,2025-09-12,Negative
Complaint Tracking System,Business Analyst,4,Clean interface and powerful features,2025-08-28,Positive
Training Platform,Support Staff,2,Frequent errors and unexpected behavior,2025-06-22,Negative
Case Management Platform,Administrator,5,Best application we have - couldn't do without it,2025-10-04,Positive
Document Management Tool,Support Staff,2,Extremely slow - takes forever to load anything,2025-06-25,Negative
Integrated Revenue Collection,End User,3,"It works fine, does what it needs to do",2025-06-28,Neutral
Service Request System,Administrator,2,"Can't do half of what we need, very limited",2025-09-23,Negative
Citizen Services Case Management,Executive,3,Functional but a bit outdated,2025-06-04,Neutral
Email Archive Platform,Business Analyst,1,System is painfully slow and frequently times out,2025-10-28,Negative
Benefits Administration Platform,Business Analyst,3,"Average tool, meets minimum requirements",2025-10-06,Neutral
Asset Management System,Department Manager,2,Clunky interface makes simple tasks take forever,2025-06-20,Negative
Benefits Administration System,Department Manager,4,Very reliable and easy to use - saves us a lot of time,2025-10-13,Positive
Document Management Tool,IT Staff,2,So slow it's almost unusable during peak hours,2025-07-21,Negative
Finance Budget Management Enterprise,Department Manager,2,Horrible experience every time I have to use it,2025-10-25,Negative
Service Request Tool,Department Manager,2,Way too expensive for what little value it provides,2025-09-18,Negative
Asset Management System,Team Lead,2,Functionality is bare-bones and inadequate,2025-07-06,Negative
Integrated Email Archive Pro,IT Staff,5,Love this system! It's intuitive and fast,2025-11-01,Positive
Complaint Tracking Tool Plus,IT Staff,3,Middle of the road - neither good nor bad,2025-07-03,Neutral
Service Request System,IT Staff,1,Not worth the cost - should find cheaper alternative,2025-10-28,Negative
Human Resources Recruitment,Supervisor,1,"Can't do half of what we need, very limited",2025-11-17,Negative
Financial System,Executive,5,"Fantastic system, makes my job much easier",2025-05-24,Positive
Service Request System v1,Executive,2,System is painfully slow and frequently times out,2025-07-20,Negative
Benefits Administration Platform,Support Staff,3,"Basic functionality works, missing some features",2025-07-26,Neutral
Complaint Tracking Tool Plus,Department Manager,1,"Can't do half of what we need, very limited",2025-07-25,Negative
Human Resources Training,Department Manager,2,Confusing workflow that makes no sense,2025-07-04,Negative
Employee Portal Tool,Director,1,"Terrible application, looking for replacement ASAP",2025-09-06,Negative
Integrated License Management,Administrator,1,Way too expensive for what little value it provides,2025-08-20,Negative
Inventory Tool,IT Staff,3,"Basic functionality works, missing some features",2025-08-23,Neutral
Human Resources Recruitment,Supervisor,3,It works but feels dated,2025-11-14,Neutral
Identity Management System,Business Analyst,2,Way too expensive for what little value it provides,2025-09-03,Negative
Incident Reporting System,Department Manager,3,Serviceable but not ideal,2025-07-18,Neutral
Accounts Payable Tool,Department Manager,4,"Works perfectly, no complaints whatsoever",2025-07-08,Positive
Budget Management System,Supervisor,5,"Works perfectly, no complaints whatsoever",2025-08-02,Positive
Budget Management,Team Lead,1,"Nightmare to use, causes daily frustration",2025-09-18,Negative
Analytics Platform,Team Lead,4,Excellent tool that has significantly improved our workflow,2025-06-19,Positive
Finance Budget Management Enterprise,End User,3,Middle of the road - neither good nor bad,2025-05-23,Neutral
Citizen Services Case Management Classic,Department Manager,1,Waste of money - should retire this immediately,2025-09-20,Negative
VPN Tool,End User,5,"Works perfectly, no complaints whatsoever",2025-06-09,Positive
Citizen Services Case Management Pro,Support Staff,4,Solid application that just works,2025-06-18,Positive
Asset Management System (Old),Supervisor,2,Needs major feature updates to be useful,2025-08-20,Negative
Digital Signatures,IT Staff,5,"Works perfectly, no complaints whatsoever",2025-07-27,Positive
Integrated GIS Mapping v2,Team Lead,2,Confusing workflow that makes no sense,2025-11-11,Negative
Integrated Backup System,Team Lead,2,"Too many bugs, feels like it's never been tested",2025-09-13,Negative
Integrated Backup System Pro,Supervisor,2,"Nightmare to use, causes daily frustration",2025-08-17,Negative
Email Archive Platform,Supervisor,2,"Freezes constantly, have to restart multiple times daily",2025-06-13,Negative
Revenue Collection,Director,5,Solid application that just works,2025-10-06,Positive
Payroll,Director,1,"Crashes multiple times per week, very unreliable",2025-06-24,Negative
Analytics Platform System Classic,IT Staff,3,Could use some improvements but manageable,2025-09-11,Neutral
Payroll,Business Analyst,1,"Absolutely hate this system, it's awful",2025-06-17,Negative
Facility Management System Classic,IT Staff,2,Missing critical features that competitors have,2025-11-06,Negative
Fleet Management Plus,Support Staff,1,"Nightmare to use, causes daily frustration",2025-05-26,Negative
Integrated Complaint Tracking v1,Business Analyst,3,Works okay most of the time,2025-10-20,Neutral
Performance Management Tool v1,Support Staff,4,Excellent tool that has significantly improved our workflow,2025-11-08,Positive
IT Identity Management,Executive,3,"Gets the job done, nothing special",2025-07-07,Neutral
Integrated Accounts Payable,Supervisor,2,Interface is confusing and not intuitive at all,2025-06-29,Negative
Integrated Revenue Collection,Department Manager,5,Very reliable and easy to use - saves us a lot of time,2025-07-04,Positive
IT Network Monitoring Classic,Support Staff,3,"Basic functionality works, missing some features",2025-06-24,Neutral
Help Desk System,Executive,5,Very reliable and easy to use - saves us a lot of time,2025-06-25,Positive
Case Management Platform,Department Manager,4,Very efficient and well-designed,2025-11-13,Positive
Operations Inventory,End User,3,Works okay most of the time,2025-07-16,Neutral
Incident Reporting,Team Lead,3,Could use some improvements but manageable,2025-06-11,Neutral
Email System System,Support Staff,3,"It's fine, no major issues",2025-06-23,Neutral
Investigation Management System,Team Lead,1,Needs major feature updates to be useful,2025-10-17,Negative
Asset Inventory Platform,IT Staff,3,Functional but a bit outdated,2025-09-09,Neutral
Integrated Budget Management,Team Lead,1,Extremely slow - takes forever to load anything,2025-06-25,Negative
Budget Management (Old),Department Manager,2,"Nightmare to use, causes daily frustration",2025-08-26,Negative
Fleet Management,Director,2,"Very difficult to navigate, poor user experience",2025-09-17,Negative
Integrated Investigation Management,Team Lead,2,"Too many bugs, feels like it's never been tested",2025-07-06,Negative
Asset Inventory System,Administrator,2,System is painfully slow and frequently times out,2025-06-29,Negative
Email System Tool,Supervisor,2,"Too many bugs, feels like it's never been tested",2025-11-10,Negative
Backup System System,Business Analyst,5,"Really helpful tool, very user-friendly",2025-06-01,Positive
Document Management Tool v1,Administrator,1,"Too many bugs, feels like it's never been tested",2025-11-04,Negative
GIS Mapping System,Supervisor,2,Horrible experience every time I have to use it,2025-08-21,Negative
GIS Mapping Platform,Department Manager,3,Could use some improvements but manageable,2025-08-05,Neutral
Document Management System,Department Manager,1,"Nightmare to use, causes daily frustration",2025-11-10,Negative
Facility Management (New),Business Analyst,5,Great application - modern interface and reliable performance,2025-07-11,Positive
Integrated Revenue Collection,Supervisor,3,Could use some improvements but manageable,2025-09-18,Neutral
Document Management Tool v1,Department Manager,5,Very efficient and well-designed,2025-11-06,Positive
Financial System,Director,3,It works but feels dated,2025-11-15,Neutral
Data Warehouse Tool,Director,1,"Terrible application, looking for replacement ASAP",2025-11-06,Negative
Email Archive (New),IT Staff,3,Not great but not terrible either,2025-09-10,Neutral
Case Management System v2,Administrator,4,Very efficient and well-designed,2025-10-12,Positive
Training,Supervisor,5,"Works perfectly, no complaints whatsoever",2025-09-26,Positive
Data Warehouse Tool,Business Analyst,4,"Works perfectly, no complaints whatsoever",2025-09-25,Positive
Service Request,Department Manager,2,Clunky interface makes simple tasks take forever,2025-11-09,Negative
Finance Grant Management,Director,2,"Absolutely hate this system, it's awful",2025-11-05,Negative
Facility Management Tool,Supervisor,3,Not great but not terrible either,2025-09-01,Neutral
Accounts Payable Tool,Director,5,Impressed with the functionality and ease of use,2025-07-31,Positive
Citizen Services Service Request,Support Staff,4,Best application we have - couldn't do without it,2025-09-16,Positive
Document Management Platform,Department Manager,3,Functional but a bit outdated,2025-09-16,Neutral
Email System Platform Plus,Business Analyst,5,Best application we have - couldn't do without it,2025-07-08,Positive
Asset Inventory System (Old),Team Lead,5,Outstanding tool that delivers real value,2025-10-10,Positive
Email Archive,Business Analyst,2,Horrible experience every time I have to use it,2025-09-26,Negative
Integrated Case Management Pro,Supervisor,2,"Absolutely hate this system, it's awful",2025-10-12,Negative
Employee Portal,Department Manager,2,Complete disaster - retire it now,2025-06-30,Negative
Analytics Platform System Classic,Support Staff,5,Very reliable and easy to use - saves us a lot of time,2025-05-27,Positive
Public Safety Investigation Management,End User,2,Lacks essential functionality for our work,2025-09-12,Negative
Incident Reporting System Pro,IT Staff,1,Horrible experience every time I have to use it,2025-09-19,Negative
Document Management Tool v1,Executive,1,"Loading times are ridiculous, kills productivity",2025-06-27,Negative
Training Platform,Team Lead,2,Clunky interface makes simple tasks take forever,2025-10-11,Negative
Training Platform,End User,1,Needs major feature updates to be useful,2025-07-23,Negative
Service Request Tool,Director,2,Confusing workflow that makes no sense,2025-07-26,Negative
Operations Inventory,IT Staff,1,"Terrible application, looking for replacement ASAP",2025-09-29,Negative
Finance Payroll v2,End User,4,"Really helpful tool, very user-friendly",2025-10-08,Positive
