Application Name,Owner,Category,Business Value,Tech Health,Cost,Usage,Security,Strategic Fit,Redundancy,Vendor,Last Updated,Dependencies,Composite Score,Action Recommendation,Comments
Human Resources Recruitment,IT Department,Human Resources,10,5,264339.23,897,6,7,2,Custom Built,5y 9m ago,,,,Overlaps with 2 other system(s) | Mission-critical application
Compliance Compliance Tracking,Communications,Compliance & Reporting,4,9,10936.28,274,9,2,0,Custom Built,2m ago,,,,Modern platform with good maintainability
Budget Management Platform,Fire Department,Finance & Accounting,4,7,30571.52,172,9,2,0,Custom Built,8m ago,,,,Standard finance & accounting application
Integrated Backup System,Legal Department,IT & Infrastructure,6,2,8747.78,36,3,4,0,Custom Built,11y 11m ago,"Integrated Case Management Pro, Citizen Services Case Management",,,Legacy application with outdated technology | Significant technical debt and stability issues
Human Resources Benefits Administration Enterprise,Legal Department,Human Resources,8,4,113542.29,181,5,5,1,SAP,4y 5m ago,,,,Overlaps with 1 other system(s)
Integrated Procurement,Human Resources,Finance & Accounting,8,5,349249.04,43,7,4,0,Oracle,4y 2m ago,Payroll,,,Standard finance & accounting application
Human Resources Training (Old),Finance,Human Resources,5,2,74380.7,122,3,3,0,Open Source,7y 2m ago,,,,Legacy application with outdated technology | Significant technical debt and stability issues
Revenue Collection Classic,Legal Department,Finance & Accounting,10,3,437647.57,31,4,2,0,SAP,12y 4m ago,,,,Critical legacy system requiring modernization | Significant technical debt and stability issues | Mission-critical application
Compliance Data Warehouse,City Manager Office,Compliance & Reporting,5,5,133227.52,426,5,4,0,SAP,4y 0m ago,"Human Resources Time & Attendance, Incident Reporting System Pro",,,Standard compliance & reporting application
Backup System Tool,Legal Department,IT & Infrastructure,9,6,82049.39,39,5,4,0,Microsoft,5y 3m ago,,,,Mission-critical application
Asset Inventory System,Public Works,IT & Infrastructure,8,1,477933.67,47,4,2,3,Open Source,18y 10m ago,,,,Critical legacy system requiring modernization | Significant technical debt and stability issues | Overlaps with 3 other system(s)
Work Order Tool,City Manager Office,Operations,4,8,3222.47,12,9,1,0,Workday,2y 2m ago,,,,Modern platform with good maintainability
Integrated GIS Mapping v2,Public Health,Operations,3,2,155507.0,51,6,1,0,Open Source,17y 5m ago,,,,"Legacy application with outdated technology | Significant technical debt and stability issues | Limited business value, consider retirement"
Analytics Platform Tool,Transportation,Compliance & Reporting,2,2,121265.01,898,6,1,0,Custom Built,18y 0m ago,"Asset Inventory, Document Management Tool v1",,,"Legacy application with outdated technology | Significant technical debt and stability issues | Limited business value, consider retirement"
Integrated Investigation Management,Economic Development,Public Safety,7,2,114445.69,45,5,3,0,Microsoft,18y 2m ago,,,,Critical legacy system requiring modernization | Significant technical debt and stability issues
Fleet Management Platform,Legal Department,Operations,5,5,7661.57,883,7,5,0,Infor,4y 2m ago,,,,Standard operations application
Investigation Management Platform Enterprise,Police Department,Public Safety,10,4,122306.42,464,3,1,0,Infor,7y 8m ago,Integrated Revenue Collection,,,Critical legacy system requiring modernization | Mission-critical application
Budget Management Platform Plus,Communications,Finance & Accounting,10,4,306466.38,37,5,4,0,Custom Built,3y 11m ago,,,,Mission-critical application
Incident Reporting Tool,Human Resources,Public Safety,4,2,3599.04,72,3,2,0,Oracle,13y 8m ago,"Integrated Complaint Tracking v1, Revenue Collection Platform v2",,,Legacy application with outdated technology | Significant technical debt and stability issues
Complaint Tracking Platform,City Manager Office,Citizen Services,10,5,153446.12,112,7,5,0,Microsoft,5y 4m ago,,,,Mission-critical application
Document Management System,IT Department,Records Management,8,8,7637.52,131,8,9,0,ServiceNow,2y 9m ago,,,,Modern platform with good maintainability
Integrated Work Order,Economic Development,Operations,3,2,128965.29,936,6,1,0,Open Source,10y 3m ago,,,,"Legacy application with outdated technology | Significant technical debt and stability issues | Limited business value, consider retirement"
Integrated Payroll,Police Department,Finance & Accounting,7,2,21471.53,142,6,2,0,Salesforce,18y 9m ago,,,,Critical legacy system requiring modernization | Significant technical debt and stability issues
Project Management,Public Works,Operations,7,2,79619.09,198,6,1,0,Workday,11y 9m ago,,,,Critical legacy system requiring modernization | Significant technical debt and stability issues
Backup System,Finance,IT & Infrastructure,9,4,287121.85,129,3,4,0,SAP,10y 2m ago,,,,Critical legacy system requiring modernization | Mission-critical application
Complaint Tracking Tool Plus,IT Department,Citizen Services,10,2,245342.91,122,3,1,3,Infor,9y 0m ago,,,,Critical legacy system requiring modernization | Significant technical debt and stability issues | Overlaps with 3 other system(s) | Mission-critical application
Case Management Tool,Planning & Development,Citizen Services,7,6,2427.01,11,10,8,0,Salesforce,2y 8m ago,,,,Standard citizen services application
311 System Platform,Public Works,Citizen Services,8,6,214726.06,244,10,9,3,Open Source,1y 5m ago,,,,Overlaps with 3 other system(s)
Evidence Tracking Platform v1,Planning & Development,Public Safety,6,7,51437.94,395,7,6,3,Infor,1y 9m ago,,,,Overlaps with 3 other system(s)
Identity Management System,Planning & Development,IT & Infrastructure,6,5,143925.42,186,5,6,2,Microsoft,3y 7m ago,"Revenue Collection Classic, Grant Management Platform",,,Overlaps with 2 other system(s)
Work Order,Parks & Recreation,Operations,4,5,87281.96,275,5,3,0,Custom Built,4y 6m ago,"Benefits Administration, Backup System Platform",,,Standard operations application
Facility Management Tool,Legal Department,Operations,3,6,65638.0,197,7,3,0,Workday,3y 2m ago,"Integrated Grant Management, Document Management Tool v1",,,"Limited business value, consider retirement"
Finance Grant Management,Public Works,Finance & Accounting,7,5,112092.15,40,6,4,1,Infor,4y 11m ago,,,,Overlaps with 1 other system(s)
Procurement,Finance,Finance & Accounting,9,3,7750.58,595,6,1,0,Open Source,6y 0m ago,,,,Critical legacy system requiring modernization | Significant technical debt and stability issues | Mission-critical application
